A;Agricultura, Pecuaria, Producao Florestal, Pesca e Aquicultura
B;Industrias Extrativas
C;Industrias de Transformacao
D;Eletricidade e Gas
E;Agua, Esgoto, Atividades de Gestao de Residuos e Descontaminacao
F;Construcao
G;Comercio, Reparacao de Veiculos Automotores e Motocicletas
H;Transporte, Armazenagem e Correio
I;Alojamento e Alimentacao
J;Informacao e Comunicacao
K;Atividades Financeiras, de Seguros e Servicos Relacionados
L;Atividades Imobiliarias
M;Atividades Profissionais, Cientificas e Tecnicas
N;Atividades Administrativas e Servicos Complementares
O;Administracao Publica, Defesa e Seguridade Social
P;Educacao
Q;Saude Humana e Servicos Sociais
R;Artes, Cultura, Esporte e Recreacao
S;Outras Atividades de Servicos
T;Servicos Domesticos
U;Organismos Internacionais e Outras Instituicoes Extraterritoriais
Z;Nao identificado